NAME,WAR,wRC,wRAA,wOBA
박재욱,-0.01,1.1,-1.1,0.266
백승현,-0.09,2.7,-2.4,0.273
김용의,-0.13,5.6,-3.9,0.281
최재원,-0.15,-1,-1.8,0
정근우,-0.29,11.6,-10.8,0.27
이재원,-0.29,-1.1,-3.6,0.127
구본혁,-0.37,2.7,-9.9,0.224
손아섭,4.93,114.8,34.7,0.409
마차도,3.25,77.2,3.8,0.351
전준우,3.06,95.7,13.4,0.368
정훈,2.69,73.7,11.3,0.371
한동희,2.47,77.2,7.6,0.36
안치홍,2.02,61.4,1.1,0.346
오윤석,1.31,30.8,4.9,0.373
이대호,1.01,87.1,7,0.357
이병규,0.96,32,6.6,0.383
김준태,0.96,40.3,-8.1,0.318
강태율,0.55,7.3,4.9,0.661
김재유,0.28,13.1,-4.3,0.306
지성준,0.09,1.7,0.3,0.371
신용수,0.07,1.7,0.7,0.445
김민수,0.04,1.2,-0.1,0.335
신본기,0.04,9.9,-6.2,0.285
강로한,0.02,2.1,-1.3,0.287
김강현,-0.03,0,-0.6,0.183
이호연,-0.06,-0.3,-0.6,0
추재현,-0.21,0.3,-3.3,0.206
배성근,-0.22,-1.2,-2.1,0
김동한,-0.24,4.8,-4.8,0.267
허일,-0.59,4.3,-8.2,0.244
민병헌,-0.68,23.5,-21.3,0.271
정보근,-1.18,-0.7,-20.6,0.187
양의지,6.09,110.5,42.1,0.437
나성범,4.94,117.6,42.1,0.428
박민우,4.48,93.6,25.1,0.399
알테어,4.26,90.5,19.5,0.385
박석민,3.97,83.8,25.7,0.411
노진혁,3.02,71,8.3,0.364
권희동,2.08,62.6,7.8,0.365
강진성,1.97,65.7,10.1,0.371
이명기,1.75,72.8,2.8,0.35
김형준,0.52,12.3,1.8,0.37
김태군,0.51,14.3,-2.9,0.318
모창민,0.34,19.8,0.8,0.35
최정원,0.29,6.9,0.6,0.358
이재율,0.23,2.5,1.2,0.485
김찬형,0.22,8,-1.1,0.325
김기환,0.06,0.8,0.5,0.645
윤수강,-0.01,0.2,-0.4,0.235
