NAME,WAR,wRC,wRAA,wOBA
정상호,-0.05,8.8,-9.1,0.272
임훈,-0.32,4.8,-7.6,0.256
강승호,-0.63,4.9,-10.4,0.246
김용의,-0.85,8.6,-17.4,0.248
안익훈,-0.7,5.6,-13.4,0.242
윤진호,-0.31,1.9,-6.7,0.23
백승현,-0.05,0.2,-0.9,0.23
박지규,-0.37,0.6,-6.8,0.21
윤대영,-0.28,0.4,-2.9,0.214
문선재,-0.08,-0.2,-1.1,0.153
장시윤,-0.05,-0.4,-0.6,0
전병우,1.02,17.9,7.1,0.447
전준우,5.67,127.4,41.2,0.421
이대호,3.84,121.9,37.1,0.415
손아섭,5.3,123,35.2,0.409
이병규,1.91,49.9,13.8,0.406
민병헌,3.05,79.2,9.8,0.37
정훈,0.91,30.5,3.3,0.367
허일,0.06,2.2,0.1,0.355
번즈,2.67,74.3,3.3,0.356
채태인,0.9,60.8,1.8,0.353
신본기,1.87,66.8,-0.5,0.347
나경민,0.3,9.2,-0.7,0.337
김문호,-0.03,12.5,-3.7,0.314
안중열,0.49,17.2,-7.6,0.302
문규현,0.48,34,-15.1,0.302
한동희,-0.2,17.9,-13.9,0.282
조홍석,-0.29,4.7,-5.3,0.268
황진수,-0.09,1.2,-2.5,0.246
김동한,-0.57,4.2,-9.3,0.244
김사훈,-0.38,2.3,-8.8,0.229
박헌도,-0.26,0.5,-3.8,0.217
오윤석,-0.15,0,-1.8,0.197
나종덕,-1.71,-4.2,-32.7,0.175
나원탁,-0.33,-1.8,-5.2,0.115
나성범,4.51,109,21.9,0.387
김태진,0.18,5.9,1,0.378
박민우,2.93,70.7,6,0.363
이원재,0.47,22.5,1.4,0.359
스크럭스,1.41,83.5,3.2,0.355
박석민,0.91,54.6,1.9,0.354
모창민,0.95,44.7,0.6,0.351
노진혁,1.7,59.5,-4.8,0.337
박헌욱,0.1,3.1,-0.2,0.34
권희동,0.92,50.1,-4.8,0.335
김성욱,1.04,42.7,-7.6,0.326
최준석,0.09,21.1,-4.1,0.324
도태훈,0.03,4.8,-1.1,0.32
김찬형,0.01,12.2,-10.3,0.28
손시헌,-0.16,9.5,-11.5,0.266
이우성,-0.62,6.9,-11.7,0.254
이상호,-0.73,10.1,-18.5,0.251
강구성,-0.02,0.2,-0.5,0.248
강진성,-0.38,3.5,-7,0.248
이종욱,-0.71,6.1,-11.9,0.249
윤여운,-0.13,3.5,-7.6,0.245
이재율,-0.21,1.3,-5,0.23
신진호,-0.11,0.9,-2.7,0.234
정범모,-0.65,8,-22.8,0.237
강민국,-0.03,0.1,-0.4,0.23
박광열,-0.17,0.6,-3.6,0.219
지석훈,-0.64,2.1,-12.6,0.219
윤병호,-0.22,0.7,-4.5,0.217
김형준,-0.45,0.5,-12,0.204
오영수,-0.24,-0.6,-2.8,0.16
백상원,0.17,2.4,1.3,0.526
러프,5.28,130.3,46.4,0.432
구자욱,3.91,98.8,24.5,0.398
이원석,3.35,90.1,13.8,0.376
이지영,1.58,32.2,3.7,0.368
김헌곤,1.99,85.7,3.4,0.355
박해민,3.2,90.4,-0.8,0.347
박한이,0.59,52.8,-2.3,0.342
최영진,0.19,18.3,-1.4,0.338
강민호,1.97,61.7,-5.3,0.337
최원제,0.03,1.6,-0.3,0.326
송준석,0.02,0.3,-0.1,0.307
김상수,0.44,47.1,-23,0.299
김성훈,0.02,19,-10.8,0.294
배영섭,-0.28,13.8,-9.8,0.286
박찬도,-0.14,6.7,-4.9,0.285
강한울,-0.28,15.8,-13.5,0.279
백승민,-0.11,2.2,-2.3,0.273
손주인,-0.7,18.1,-23.6,0.263
이성곤,-0.09,1.1,-1.6,0.26
조동찬,-0.3,3.3,-5,0.258
안주형,-0.15,0.2,-0.9,0.23
김민수,-0.06,-0.2,-1.1,0.153
김호재,-0.14,-0.4,-1.4,0.131
정병곤,-0.33,-2.1,-4.3,0.057
김응민,-0.19,-0.2,-0.3,0
김성윤,-0.05,-0.4,-0.6,0
권정웅,-0.02,-1.5,-2.6,0
김재현,0.01,-0.2,-0.3,0
안상현,0.03,0.5,0.2,0.46
로맥,4.78,128.5,41.9,0.422
이재원,4.21,87.5,21.4,0.397
한유섬,3.53,105.2,26.3,0.399
최정,3.52,85.3,16.7,0.385
김강민,1.71,45.6,8.1,0.381
최항,1.37,41.1,5,0.37
강승호,0.55,16.2,1.7,0.367
노수광,3.03,89,6.4,0.36
박승욱,0.53,11.6,0.5,0.356
김재현,0.33,11.2,0.4,0.353
정의윤,0.26,32.7,-0.9,0.345
최승준,0.03,10,-1.1,0.334
나주환,0.98,50.9,-8.1,0.328
허도환,0.11,3,-0.4,0.331
김동엽,-0.06,51,-11.6,0.321
김성현,0.77,49.1,-15.8,0.312
윤정우,-0.02,4.2,-1.9,0.302
정진기,-0.54,14,-15.8,0.269
이성우,-0.18,7.8,-11,0.26
박정권,-0.18,1.7,-2.7,0.256
이대수,-0.04,0.1,-0.8,0.207
박성한,-0.42,0.2,-8.1,0.201
조용호,-0.34,-1.7,-3.7,0.066
강지광,-0.03,-0.2,-0.3,0
이윤재,-0.03,-0.2,-0.3,0
