이름,출장,완투,완봉,선발,승,패,세이브,홀드,이닝,실점,자책,타자,안타,2루타,3루타,홈런,볼넷,고4,사구,삼진,보크,폭투,,,,,,,,
NAME,G,CG,SHO,GS,W,L,SV,HLD,IP,R,ER,TBF,H,2B,3B,HR,BB,IBB,HBP,SO,BK,WP,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA,BABIP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,CYP,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-11,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.8,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.7,,
