NAME,WAR,FIP,LOB,BABIP
김건국,0.9,4.57,0.73,0.329
손승락,0.85,3.56,0.68,0.313
톰슨,0.82,3.66,0.62,0.287
박진형,0.76,3.95,0.75,0.312
고효준,0.7,3.93,0.71,0.331
다익손,0.66,4.13,0.64,0.332
서준원,0.63,5.02,0.69,0.335
조무근,0.3,4.85,0.86,0.207
김현수,0.2,2.61,0.5,0.158
홍성민,0.2,2.53,0.67,0.347
송승준,0.19,4.66,0.78,0.326
정성종,0.19,5.52,0.71,0.345
차재용,0.09,4.13,0.65,0.281
박진,-0.02,4.4,0.67,0.5
박근홍,-0.02,8.72,0.78,0.229
오현택,-0.05,8.77,0.94,0.237
정태승,-0.09,2.4,0,0.667
최영환,-0.1,3.67,0.52,0.352
윤성빈,-0.23,30.4,0,0
최하늘,-0.34,19.9,0.24,0.286
김원중,-0.36,4.76,0.65,0.354
이승헌,-0.4,9.4,0.36,0.583
이인복,-0.64,6.32,0.56,0.482
윤길현,-0.78,9.6,0.45,0.625
구승민,-0.83,4.32,0.65,0.377
루친스키,4.64,3.96,0.75,0.281
박진우,3.82,3.95,0.77,0.293
구창모,2.67,3.81,0.78,0.273
프리드릭,2.38,3.57,0.8,0.284
이재학,1.7,3.8,0.7,0.31
최성영,1.45,4.27,0.73,0.305
김정훈,0.62,4.59,0.74,0.282
배재환,0.6,3.86,0.74,0.326
강윤구,0.44,3.97,0.7,0.323
원종현,0.41,3.2,0.67,0.339
임창민,0.29,4.54,0.79,0.31
김영규,0.18,5.06,0.72,0.346
임정호,0.08,2.12,0.6,0.273
버틀러,0.04,4.31,0.62,0.301
소이현,0.04,4.4,1,0.333
김진성,0.04,4.74,0.65,0.282
전사민,0.03,1.4,1,0.5
장현식,0.02,5.23,0.75,0.31
윤지웅,0.01,6.25,0.74,0.29
배민서,0,3.7,0.75,0.467
이민호,-0.04,5.68,0.71,0.35
홍성무,-0.09,7.24,0.76,0.289
송명기,-0.1,9.07,0.65,0.3
이우석,-0.18,4.72,0.5,0.412
유원상,-0.18,4.76,0.57,0.284
민성기,-0.18,4.15,0.52,0.524
윤강민,-0.2,6.93,0.65,0.407
노성호,-0.26,7.22,0.53,0.389
정수민,-0.84,7.47,0.41,0.444
