NAME,WAR,wRC,wRAA,wOBA
박찬호,0.91,44.8,-18.9,0.289
한승택,0.27,21.4,-12.5,0.278
이정훈,0.02,1.1,-0.7,0.277
황대인,-0.12,2,-1.3,0.275
이인행,-0.04,1.4,-1,0.27
해즐베이커,-0.05,3,-2.4,0.268
최정용,-0.02,1.4,-1.1,0.27
최원준,-0.65,14.4,-15.6,0.256
이우성,-0.22,4.8,-5.5,0.254
고영우,-0.12,1.7,-2.1,0.252
김민식,-0.14,5.9,-7.7,0.249
박준태,-0.21,1.5,-4,0.226
홍재호,-0.05,0.6,-1.7,0.225
강백호,4.74,93.1,33.8,0.415
로하스,5.49,101.4,33.6,0.405
유한준,3.46,88.1,22,0.381
황재균,4.05,76.4,16.8,0.373
송민섭,0.21,8.4,0.9,0.35
조용호,0.53,25.9,1.1,0.339
오승택,0.89,23.6,0.2,0.334
박경수,2.21,56.2,-1.4,0.329
장성우,1.32,40.7,-7.8,0.309
김민혁,1,51.7,-9.7,0.309
심우준,1.92,42.3,-8.7,0.307
강민국,0.28,8.2,-2.8,0.295
이준수,0.03,4.1,-1.7,0.29
오태곤,-0.08,16,-6.6,0.289
김진곤,-0.1,2.8,-1.2,0.287
박승욱,-0.15,17.7,-9.3,0.282
문상철,-0.07,4.7,-3.1,0.274
이대형,-0.07,1.3,-0.9,0.271
윤석민,-0.67,10.1,-10.9,0.256
배정대,-0.27,4.7,-5.2,0.256
안치영,-0.02,0.3,-0.5,0.242
고명성,-0.17,0,-2.1,0.185
정현,-0.1,-0.2,-1.3,0.167
이해창,-0.35,-0.9,-5.9,0.161
안승한,-0.47,-1,-6.5,0.16
김병희,-0.08,-0.3,-1.1,0.135
김영환,-0.19,-0.9,-2.7,0.111
박민석,-0.02,-0.1,-0.3,0
김재윤,-0.02,-0.1,-0.3,0
박병호,5.46,100.9,38.3,0.422
샌즈,6.16,115.8,43.6,0.421
김하성,7.17,106.3,32.8,0.397
이정후,4.88,101.5,27.3,0.386
박동원,2.92,52.6,10.1,0.367
서건창,2.34,65,7.8,0.352
예진원,0.03,1,0.1,0.345
김혜성,1.9,41.3,-4.2,0.319
김규민,0.28,25.3,-4.1,0.312
장영석,0.53,40.1,-8.5,0.307
김지수,0,3.1,-0.7,0.305
박정음,-0.09,8.1,-2.3,0.3
이지영,0.88,28.6,-10.4,0.293
김웅빈,0.02,0.9,-0.4,0.292
임병욱,0.57,35.2,-14.1,0.29
허정협,-0.13,5.6,-3.5,0.277
송성문,-0.16,23.3,-16.2,0.272
주효상,-0.13,1.8,-1.7,0.261
김수산,-0.04,0.4,-0.8,0.239
임동휘,-0.11,0.3,-1.8,0.208
김주형,0,-0.1,-0.3,0
추재현,-0.03,-0.1,-0.3,0
페게로,1.22,30.7,5.5,0.364
김현수,3.57,86.1,16.1,0.366
이형종,2.99,68.9,12.1,0.363
채은성,3.16,73.6,13.2,0.364
유강남,3.35,61.7,6.6,0.35
조셉,0.91,28.2,2.7,0.347
이천웅,3.98,82.6,10.4,0.353
김재성,0.04,0.9,0,0.341
오지환,3.37,63.6,-0.8,0.33
김민성,1.66,43.4,-3.8,0.32
박용택,0.34,23.4,-1.9,0.321
서상우,-0.04,2.3,-0.6,0.303
박지규,0.06,1.6,-0.5,0.296
전민수,0.08,9.1,-3.3,0.294
신민재,-0.01,7.9,-3.1,0.291
김용의,-0.18,16.2,-8.5,0.282
홍창기,0.02,1.8,-1.1,0.278
정주현,0.01,29.8,-20.2,0.273
구본혁,-0.28,3.1,-8.1,0.226
류형우,-0.04,0.3,-1.1,0.218
이성우,-0.33,1.6,-7.1,0.212
백승현,-0.23,-0.4,-3.9,0.17
양종민,-0.56,-1,-6.8,0.16
윤진호,-0.71,-2.6,-9.9,0.133
김재율,-0.13,-0.6,-1.6,0.105
정상호,-0.33,-1.8,-4.6,0.094
전준호,-0.1,-0.7,-1.3,0
민병헌,3.53,66.2,16.8,0.382
전준우,4.24,94,22.6,0.379
윌슨,1.35,37.7,6.1,0.361
이대호,1.79,76.9,12.3,0.36
손아섭,2.75,76.6,9.7,0.353
아수아헤,0.94,23.1,0.3,0.334
채태인,0.25,19.8,-1.6,0.321
김동한,0.23,8.7,-1.3,0.313
강로한,0.74,27.6,-8.4,0.298
고승민,0.08,7.9,-2.6,0.296
허일,0.11,14.3,-4.7,0.296
김민수,0,3.2,-1.1,0.295
정훈,-0.06,19.1,-7,0.293
신본기,0.6,33.2,-15.4,0.286
김문호,-0.07,7.1,-5.7,0.267
나경민,-0.07,3,-2.8,0.262
이병규,-0.11,1.4,-1.2,0.262
한동희,-0.41,12.9,-11.5,0.263
오윤석,-0.67,13.3,-13.6,0.258
정준혁,-0.03,0.6,-0.7,0.258
문규현,-0.27,3.7,-4.7,0.25
안중열,-0.19,6.9,-10.1,0.246
배성근,-0.08,2.3,-3.4,0.245
김준태,-0.44,4.2,-8.1,0.236
황진수,-0.03,0,-0.5,0.18
나종덕,-1.41,-1,-25.6,0.18
정보근,-0.22,-0.4,-4.6,0.171
조홍석,-0.64,-1.1,-8.8,0.166
신용수,-0.19,-0.6,-2.9,0.151
전병우,-0.79,-2.2,-8.6,0.134
최승민,0.24,2.4,1.2,0.487
나성범,1.54,25.4,12.9,0.483
양의지,6.69,98.3,44.3,0.452
이인혁,0.08,1.7,0.6,0.416
박석민,3.31,74,21.7,0.393
박민우,4.72,85.1,23.1,0.387
모창민,2.04,57.4,11.9,0.371
노진혁,2.39,50,4.1,0.345
이우성,0.35,10,0.5,0.34
권희동,1.33,49.4,0.7,0.334
이명기,1.18,29.2,0.3,0.334
스몰린스키,0.64,26.9,0,0.332
베탄코트,0.51,25.2,-1.2,0.326
이원재,0.17,30.3,-3.2,0.318
김찬형,0.36,15.8,-2.4,0.313
김태진,0.53,40.1,-6.9,0.311
강진성,0.19,10.4,-1.8,0.311
손시헌,0.38,14.6,-3,0.308
김성욱,0.65,32.2,-7,0.306
정범모,0.12,4,-1.3,0.296
김태군,0.08,2.4,-0.9,0.292
지석훈,-0.07,14.2,-5.7,0.29
이상호,-0.19,19.6,-10.5,0.281
김준완,-0.03,1.4,-0.9,0.275
김형준,0,8.4,-5.6,0.274
윤여운,-0.01,0.2,-0.3,0.236
박헌욱,-0.11,-0.3,-1.3,0.146
김진형,-0.35,-0.9,-3.6,0.139
오영수,-0.13,-0.4,-1.4,0.118
김철호,-0.1,-0.3,-0.5,0
러프,4.18,100.7,33.9,0.406
공민규,0.21,8,1,0.352
김헌곤,1.68,60,5,0.346
구자욱,1.95,68.7,6.8,0.348
이원석,1.98,58.7,5.2,0.346
윌리엄슨,0.46,20.6,0.9,0.339
이성규,0.15,5.7,0.2,0.339
김상수,2.97,64.8,0.9,0.334
박계범,1.01,24.6,0.6,0.336
박한이,0.1,9.7,-0.3,0.327
이학주,1.78,48.5,-2.9,0.324
강민호,1.83,44.6,-1.7,0.327
박해민,1.26,53.3,-15.1,0.3
최선호,0.01,0.7,-0.2,0.298
최영진,0.23,25,-7.4,0.299
박찬도,-0.02,2.9,-1.1,0.291
송준석,-0.08,4.3,-2.3,0.282
김동엽,-0.85,15.8,-9.1,0.279
김도환,0.1,6.8,-5.6,0.266
백승민,-0.21,2.3,-3,0.25
김응민,-0.02,0.6,-0.9,0.247
김호재,-0.16,1.3,-2.6,0.234
손주인,-0.27,1.4,-2.7,0.235
김성훈,-0.32,3.3,-7,0.233
박승규,-0.14,0.8,-1.9,0.227
김민수,-0.15,0.8,-4,0.211
이성곤,-0.3,0.5,-2.8,0.209
양우현,-0.02,-0.1,-0.3,0
김재현,-0.05,-0.3,-0.5,0
이현동,-0.05,-0.3,-0.5,0
임재현,0.1,1.1,0.7,0.63
최정,6.32,109.9,38.5,0.411
로맥,4.02,98.1,28.8,0.393
한유섬,2.11,70.6,11.5,0.361
정의윤,1.68,58.4,9.1,0.359
고종욱,2.26,69.1,8.7,0.353
이재원,2.66,58,-1.1,0.33
김재현,0.13,5.3,-0.5,0.32
김강민,1.63,49.9,-4.3,0.321
노수광,0.57,42.3,-10.1,0.304
최항,0.2,12,-5.3,0.288
박정권,-0.03,3.1,-1.2,0.291
김성현,0.5,36.4,-19.2,0.282
배영섭,-0.11,5.2,-4.2,0.267
최준우,-0.02,2.3,-2,0.265
나주환,-0.52,15.6,-13.3,0.265
남태혁,-0.07,1.4,-1.5,0.257
최승준,-0.09,1.4,-1.5,0.257
안상현,-0.29,5.3,-7.4,0.247
김성민,-0.03,0.2,-0.3,0.236
김창평,-0.23,1.7,-4.6,0.225
박승욱,-0.04,0.6,-1.2,0.234
강승호,-0.18,1.3,-3.7,0.223
정진기,-0.14,0.3,-1.7,0.209
허도환,-0.65,0.2,-10.7,0.189
정현,-0.35,-0.7,-4.7,0.162
최경모,-0.25,-1.3,-3.2,0.082
최민재,-0.07,-0.3,-0.5,0
이현석,-0.06,-0.4,-0.8,0
