NAME,WAR,wRC,wRAA,wOBA
페르난데스,5.1,115.2,39.2,0.408
오재일,4.14,86.9,24.6,0.39
박건우,4.68,89.8,26.6,0.394
김재환,3.52,81.3,13.9,0.362
김재호,2.89,58.9,3.6,0.342
이흥련,0.22,5.6,0.5,0.345
허경민,2.44,64.5,0.9,0.334
박세혁,3.06,60.1,0.7,0.334
김인태,0.19,7.8,-0.4,0.324
최주환,0.75,35.8,-2.4,0.323
정수빈,2.05,57.5,-2.9,0.325
신성현,0.07,5.3,-1,0.308
류지혁,0.51,26.3,-10.9,0.289
국해성,-0.06,2.8,-2,0.272
오재원,-0.3,11.7,-12.3,0.257
정병곤,0.01,1.8,-1.8,0.259
정진호,-0.37,6,-6.9,0.254
이병휘,0.1,0.5,-0.9,0.236
백동훈,-0.27,1.9,-4.3,0.23
장승현,-0.14,1.4,-4,0.223
김경호,-0.22,0.1,-3.1,0.189
김대한,-0.22,-1,-3.1,0.12
이유찬,-0.07,-0.1,-0.3,0
송승환,-0.05,-0.3,-0.5,0
서예일,-0.02,-0.4,-0.8,0
김태연,0.09,1.3,0.6,0.46
이성열,2.45,68.4,12.3,0.364
최재훈,3.55,63.8,10.6,0.362
김태균,1.9,70.2,11.4,0.36
호잉,3.51,73,11.2,0.359
최윤석,0.11,1.8,0,0.333
최진행,0.34,14.9,-0.3,0.33
정근우,0.75,32.9,-3,0.32
정은원,2.06,65.8,-7.7,0.317
장진혁,0.61,35.3,-5.8,0.312
김민하,0.22,14,-2.4,0.311
변우혁,-0.01,5.9,-1.3,0.306
김회성,0.17,11.1,-2.7,0.303
송광민,1.04,44.4,-12.8,0.3
지성준,0.33,10,-2.9,0.3
강경학,0.25,12,-3.8,0.297
이동훈,0.02,2.5,-1.1,0.286
오선진,0.59,34.8,-18.6,0.281
하주석,0.04,1.4,-0.9,0.273
백창수,-0.17,2.5,-3.1,0.251
이원석,-0.11,0.4,-0.6,0.244
김종민,-0.03,0.8,-1.7,0.234
노시환,-0.8,7.8,-14.8,0.237
김인환,-0.38,1.4,-4,0.224
유장혁,-0.28,1.8,-5.4,0.223
양성우,-0.77,2.9,-12.3,0.214
이창열,-0.09,0.3,-1.6,0.21
박한결,-0.12,-0.1,-1.4,0.172
장운호,-0.2,-0.5,-1.9,0.139
김창혁,-0.05,-0.3,-0.5,0
최형우,4.16,98.5,33.2,0.406
터커,3.25,66.7,19.7,0.393
유민상,1.23,33.4,9.6,0.391
안치홍,2.84,59.7,11.7,0.368
이창진,2.5,60.8,5.5,0.347
김선빈,2.3,55.4,2.8,0.34
이명기,1.28,35.2,-0.3,0.331
황윤호,0.43,15.1,-0.2,0.331
김주찬,0.71,42,-0.8,0.33
신범수,0.34,7.4,-0.3,0.327
백용환,0.24,5.5,-0.5,0.32
한준수,0.04,2.2,-0.2,0.321
나지완,0.06,14.8,-3.2,0.306
유재신,-0.08,5.7,-1.2,0.306
이범호,0.02,2.9,-0.8,0.301
류승현,0.05,15.1,-4.1,0.301
문선재,-0.02,5.5,-1.7,0.298
